Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted)
238.0,-187500.02235174447,-133836.12142039795,-26421.21480956254,-28229.359177274608,-24707.97594880771,-19355.761332006616,-187500.02235174447,-31436.40982346652,-13606.512678445895,-14585.675547799534,-1492.314218558576,-43738.98878562317,-31122.25605514718,-33831.44394534158,1509.279192600154,11040.890042887931,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695758134.252515,0.0,2023-09-26 14:55:34.252
240.0,-187500.02235174447,-133762.11479450643,-26430.602542233773,-28245.854764682623,-24716.871943100923,-19378.71657356221,-187500.02235174447,-31453.240687041365,-13618.582620451763,-14605.814469553769,-1536.1236376909778,-43786.44153910179,-31137.790517543617,-33845.79376528189,1479.3278550300429,11034.60920269599,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695758134.252556,0.0,2023-09-26 14:55:34.252
242.0,-187500.02235174447,-133799.66572519133,-26432.234219579008,-28243.485479770363,-24726.147917049875,-19366.803093767536,-187500.02235174447,-31447.138660805067,-13628.79736766784,-14608.02729225484,-1460.060651309568,-43705.46116894021,-31143.1996397018,-33860.00947475547,1535.4530853573187,11053.51877850518,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695758134.252567,0.0,2023-09-26 14:55:34.252
244.0,-187500.02235174447,-133765.35579745244,-26427.070966609837,-28238.45633726792,-24714.904989588857,-19374.67090781581,-187500.02235174447,-31449.306780017232,-13619.297876274331,-14640.549080437311,-1537.442390613841,-43785.16748966784,-31135.26477042017,-33844.095032703284,1479.3055032855873,11026.60727818099,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695758134.252577,0.0,2023-09-26 14:55:34.252
246.0,-187500.02235174447,-133798.9281176243,-26431.09428061179,-28239.708034957413,-24720.89525710288,-19367.11601818991,-187500.02235174447,-31447.31747476071,-13629.31145779031,-14623.31588546227,-1469.5377909586182,-43706.93638407426,-31138.818697788563,-33848.54302984989,1527.518216075685,11047.99789762472,0.066,0.984,-0.242,192.0,1.0,8.0,15.0,96.0,124.0,56.0,0.0,0.0,0.0,1695758134.252587,0.0,2023-09-26 14:55:34.252
248.0,-187500.02235174447,-133789.51803320862,-26423.31587354134,-28233.650712210027,-24709.98760580869,-19371.85458801444,-187500.02235174447,-31445.395224737556,-13616.928591362072,-14660.285670791349,-1562.4763444037849,-43809.93322252431,-31133.610741330474,-33838.06006170035,1458.2725117531434,11012.883307085433,0.066,0.984,-0.242,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695758134.252597,0.0,2023-09-26 14:55:34.252
250.0,-187500.02235174447,-133776.15169002436,-26438.00096964848,-28247.44173853895,-24720.5376291916,-19380.392954396364,-187500.02235174447,-31457.152242321044,-13635.301725304333,-14636.034028057342,-1465.9168083568584,-43700.610840393405,-31146.50769788119,-33863.13871897921,1533.8214080120813,11053.675240716368,0.066,0.984,-0.242,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695758134.252616,0.0,2023-09-26 14:55:34.252
252.0,-187500.02235174447,-133777.20222201376,-26437.8892109262,-28246.592372249648,-24719.822373369025,-19384.863303287424,-187500.02235174447,-31459.23095455539,-13637.98393463897,-14685.498438536935,-1536.213044668799,-43779.11016692044,-31151.112157238986,-33861.03765500041,1483.7087969432828,11017.398359465404,0.066,0.984,-0.242,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695758134.252626,0.0,2023-09-26 14:55:34.252
254.0,-187500.02235174447,-133745.28393093156,-26440.347902816287,-28251.710921729915,-24719.7329663912,-19382.56107360853,-187500.02235174447,-31458.69451268846,-13642.096655618749,-14646.651106673611,-1450.5164564271518,-43678.661427338295,-31146.239476947725,-33864.1445474797,1544.7290593062712,11051.015383126189,0.066,0.984,-0.242,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695758134.252635,0.0,2023-09-26 14:55:34.252
0.0,-93750.01117587223,-70427.32929317109,-13237.28421178868,-14013.023854854568,-12324.863651378591,-9701.126480236826,-93750.01117587223,-15618.28143814581,-6819.181957147355,-7348.203044915563,-751.2421311428703,-21873.12655128557,-15571.812161423226,-16928.473642882545,753.0973259326609,5507.760406465579,0.065,0.984,-0.242,192.0,1.0,0.0,15.0,96.0,124.0,56.0,0.0,0.0,0.0,1695758134.343222,0.0,2023-09-26 14:55:34.343
