Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted)
238.0,-162708.78615484072,-187500.02235174447,-42080.77991971731,-31262.22267892631,51288.31282714759,70019.00762546154,105279.64446301993,48253.57177896163,80602.24570062706,35235.33466283496,-7286.288712774362,19740.278391871263,49418.54469997224,25724.332120934974,-16386.823819497087,-50571.358271999154,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412769.405122,0.0,2023-09-22 14:59:29.405
240.0,-162768.24179509186,-187500.02235174447,-42034.15418078353,-31226.549294775643,51303.33319942156,70046.00853276355,105350.61125166553,48279.56685776316,80568.00282812153,35204.53395897555,-7269.144924777142,19757.42217986848,49339.12895192253,25743.174641510803,-16373.23395886826,-50641.67686005555,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412769.405129,0.0,2023-09-22 14:59:29.405
242.0,-162832.57011563424,-187500.02235174447,-42007.66736360399,-31205.538654987653,51286.50233584671,70043.30397168445,105289.4568788358,48276.01293039476,80579.08929337136,35230.4172790548,-7292.122518077197,19737.842051725635,49418.94703137244,25725.42735641329,-16390.847133499043,-50540.535216395285,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412769.405139,0.0,2023-09-22 14:59:29.405
244.0,-162951.14611996964,-187500.02235174447,-42048.14637281256,-31223.55416101863,51312.408007670405,70020.39343361776,105324.70557984182,48244.45226722387,80547.37216798928,35191.815816380484,-7274.241122512952,19746.78274950776,49325.20381512688,25737.05026353005,-16371.065839656096,-50608.52922302833,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412769.405142,0.0,2023-09-22 14:59:29.405
246.0,-162956.44348340554,-187500.02235174447,-41969.60234279661,-31146.59710485901,51298.19229819683,70067.041524296,105306.42185287736,48301.89625047401,80592.00860166653,35248.05280543004,-7271.514209689404,19754.270583900285,49434.88382516907,25736.111490262927,-16370.395287322435,-50521.84915803065,-0.033,0.446,0.236,192.0,126.5,120.0,13.5,112.0,7.0,96.0,0.0,0.0,0.0,1695412769.405146,0.0,2023-09-22 14:59:29.405
248.0,-163126.18263079913,-187500.02235174447,-42064.26198056484,-31218.21209409381,51333.6198131585,70008.85993347883,105291.98262595924,48228.26960423823,80568.40515952172,35196.86731062738,-7240.981726763454,19773.0684009872,49330.30001286269,25745.81214735653,-16349.451702767814,-50589.53024024132,-0.033,0.446,0.236,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412769.405149,0.0,2023-09-22 14:59:29.405
250.0,-163193.39432637626,-187500.02235174447,-42013.67998286247,-31196.732067672263,51311.80451057012,70018.64999755025,105291.75910851469,48235.75743863075,80601.03870642647,35217.11799110389,-7259.399564194628,19756.326944390174,49416.35422901562,25737.653760630343,-16357.073647627074,-50557.47783869241,-0.033,0.446,0.236,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412769.405152,0.0,2023-09-22 14:59:29.405
252.0,-163337.6524850908,-187500.02235174447,-42080.80227146176,-31231.24316111125,51337.39725797144,70002.91436945372,105298.68814929583,48204.50969988224,80568.00282812153,35187.278412256055,-7229.582337091248,19771.347316664134,49341.60999555708,25752.13769103738,-16342.388551519938,-50634.83722625223,-0.033,0.446,0.236,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412769.405155,0.0,2023-09-22 14:59:29.405
254.0,-163383.1159333129,-187500.02235174447,-42010.68484910546,-31183.432779721355,51328.85889158952,70035.14558495827,105317.105986727,48236.472694453325,80600.43520932618,35219.62138648288,-7248.380154178161,19753.890604244545,49431.44165652296,25744.13576652238,-16359.934670917351,-50577.41559474655,-0.033,0.446,0.236,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412769.405158,0.0,2023-09-22 14:59:29.405
0.0,-93750.01117587223,-93750.01117587223,-21467.95647954422,-15050.435370258734,25688.971661206684,35023.64129109875,52589.05024397973,24411.92709349717,40282.9620579436,17607.564342923684,-3623.038962249632,9878.040537600582,24693.134390489387,12869.888588176798,-8184.113584055136,-25297.324394860792,-0.0525,0.67,0.351,192.0,126.5,96.0,13.5,120.0,7.0,72.0,0.0,0.0,0.0,1695412769.515676,0.0,2023-09-22 14:59:29.515
2.0,-187500.02235174447,-187500.02235174447,-42870.75762400122,-30054.71438821726,51348.05904007662,70078.84324536839,105154.54174930356,48866.92599855972,80706.18131234424,35343.18182983182,-7224.910822500089,19740.077226171165,49487.94686650597,25973.95640301185,-16291.31481543956,-51050.82554230995,-0.0525,0.67,0.351,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412769.575238,0.0,2023-09-22 14:59:29.575
4.0,-187500.02235174447,-187500.02235174447,-42977.08487237512,-30126.284673963157,51360.12898208249,70025.9813697316,105109.14535631482,48804.94461118515,80660.20377399967,35313.90104459537,-7208.057607180787,19748.079150686164,49407.54764170023,25978.49380713628,-16285.659824092369,-51077.87115310087,-0.0525,0.67,0.351,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412769.575246,0.0,2023-09-22 14:59:29.575
6.0,-187500.02235174447,-187500.02235174447,-42868.16482164441,-30061.263449342663,51348.95310985483,70076.74218138959,105155.1228946594,48870.09994627237,80713.69149848122,35344.90291415488,-7218.227650907952,19739.406673837504,49478.179154179,25978.49380713628,-16303.161240000874,-51034.37465839084,-0.0525,0.67,0.351,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412769.57525,0.0,2023-09-22 14:59:29.575
8.0,-187500.02235174447,-187500.02235174447,-42969.26176181576,-30124.451830917817,51365.40399377394,70031.77047154552,105108.49715572562,48810.68900951016,80666.2387450026,35301.07114327802,-7216.215993906974,19723.33576957414,49420.534005228765,25965.08276046309,-16297.17097248685,-51047.07044924146,-0.07,0.888,0.47,192.0,126.5,104.0,13.5,96.0,7.0,88.0,0.0,0.0,0.0,1695412769.575253,0.0,2023-09-22 14:59:29.575
10.0,-187500.02235174447,-187500.02235174447,-42849.79168770214,-30046.980684635724,51362.542970483664,70083.11242855935,105179.17337169332,48884.38271097931,80695.92186163925,35284.307334936544,-7232.219842936975,19700.08995534062,49481.196639680464,25945.81555674262,-16306.670463880357,-51000.40000681877,-0.07,0.888,0.47,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412769.575257,0.0,2023-09-22 14:59:29.575
