Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted)
224.0,-132492.51335770052,-187500.02235174447,-40555.78745076507,-26408.921350112123,51292.09027196054,70093.50598973107,106647.59357542916,48518.70817169049,80477.18769039962,35464.21652605731,-7026.963773603889,19909.883428798134,49510.6338871281,25470.30454520041,-16330.050388580608,-52020.44421678117,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.68553,0.0,2023-09-22 14:59:13.685
226.0,-132284.9327069441,-187500.02235174447,-40420.35823111037,-26319.000282168425,51288.357530636495,70156.49320560614,106700.34369234368,48601.02964651938,80533.37997596026,35497.34181134008,-7035.077456841166,19899.02048099285,49593.8047282463,25467.197652721126,-16330.139795558429,-51963.268454464494,-0.07,0.908,0.44,192.0,126.5,104.0,14.0,48.0,6.5,96.0,0.0,0.0,0.0,1695412753.685538,0.0,2023-09-22 14:59:13.685
228.0,-132245.52658146937,-187500.02235174447,-40520.672860225786,-26381.674573621105,51298.37111215248,70106.60411198188,106639.3681334696,48538.48946553344,80484.74258002552,35471.14556683845,-7031.054142839211,19908.877600297645,49528.31411699225,25465.27540269797,-16330.229202536251,-51965.34716669883,-0.07,0.908,0.44,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.685544,0.0,2023-09-22 14:59:13.685
230.0,-132031.4639248209,-187500.02235174447,-40375.72179743312,-26281.58346195024,51293.74430105023,70174.30754593702,106711.2960471268,48624.56603343082,80529.49077242504,35488.870500191515,-7037.334983031152,19899.534571115324,49590.94370495602,25462.973173019072,-16326.921144356866,-51941.49785536502,-0.07,0.908,0.44,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.685548,0.0,2023-09-22 14:59:13.685
232.0,-131989.3085347782,-187500.02235174447,-40478.96450507218,-26345.35298888123,51285.85413525751,70117.69057723173,106628.68399961996,48555.052108174816,80490.03994346142,35474.87830816249,-7031.188253305942,19902.686167083524,49539.69115492,25461.453254396118,-16328.03873157963,-51930.076113948366,-0.07,0.908,0.44,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.685551,0.0,2023-09-22 14:59:13.685
234.0,-131796.1671109399,-187500.02235174447,-40356.588704179376,-26272.53100544584,51312.92209779288,70165.88093827736,106726.9422682455,48619.87216709521,80531.10009802581,35464.10476733503,-7017.687799654937,19910.21870496496,49577.756175727394,25475.13252200276,-16310.827888349044,-51952.53961712595,-0.07,0.908,0.44,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.685555,0.0,2023-09-22 14:59:13.685
236.0,-131742.5005725027,-187500.02235174447,-40454.24347570461,-26328.20920088401,51298.14759470792,70112.90730391828,106636.35064796814,48560.774154755374,80504.501522124,35468.32924703709,-7024.885061369546,19904.630768851133,49559.74066969642,25466.996487021028,-16315.924086084857,-51909.62426777175,-0.072,0.91,0.442,192.0,126.5,96.0,14.0,56.0,6.5,104.0,0.0,0.0,0.0,1695412753.685558,0.0,2023-09-22 14:59:13.685
238.0,-131603.2715562906,-187500.02235174447,-40379.722759690616,-26298.12375284717,51304.07080698858,70128.19589712571,106719.27561989732,48584.15407945563,80515.31976644037,35440.6130839125,-7018.268945010776,19910.46457415397,49551.17995157003,25475.84777782533,-16308.19038250332,-51959.13338174026,-0.072,0.91,0.442,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.685562,0.0,2023-09-22 14:59:13.685
240.0,-131561.27262845906,-187500.02235174447,-40476.48346143764,-26361.334486166776,51312.18449022585,70084.76645764905,106638.40700845805,48526.955965394496,80506.51317912497,35448.27973226067,-7014.670314153471,19915.0019782784,49564.054556376286,25473.09851325733,-16309.08445228153,-51945.96820425609,-0.072,0.91,0.442,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.685565,0.0,2023-09-22 14:59:13.685
0.0,-82186.0456092412,-93750.01117587223,-19826.86904989112,-13829.627791598772,25666.84343419593,35045.43424194268,53329.78705522861,24398.67250903517,40242.10306907929,17709.734166828894,-3505.893469559368,9958.59622461751,24749.50549000567,12739.80143544691,-8151.100057494647,-26010.76972612974,-0.075,0.91,0.444,192.0,126.5,72.0,14.0,56.0,6.5,120.0,0.0,0.0,0.0,1695412753.865137,0.0,2023-09-22 14:59:13.865
2.0,-164452.9151264328,-187500.02235174447,-39739.45703976835,-27706.171894809235,51315.33608619405,70060.42540793722,106567.39551632352,48754.4073169717,80655.37579719732,35470.16209008242,-7074.081250915677,19905.524838629342,49541.07696307623,25633.60639019089,-16330.676237425358,-53311.01158988614,-0.075,0.91,0.444,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.865151,0.0,2023-09-22 14:59:13.865
4.0,-164516.34937719695,-187500.02235174447,-39724.883702383486,-27721.214618827657,51345.57799644208,70058.54786140297,106643.86083410511,48749.22171225807,80633.85106728686,35430.10776401851,-7067.06280315671,19908.698786342,49482.046005969765,25639.708416427187,-16322.741368143725,-53372.143610971405,-0.075,0.91,0.444,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.865154,0.0,2023-09-22 14:59:13.865
6.0,-164550.4357874913,-187500.02235174447,-39729.42110650792,-27719.53823799351,51319.06882751809,70066.92976557372,106598.44208937194,48759.4588112186,80667.0881112919,35457.73452016527,-7070.057936913721,19903.13320197263,49552.27518704834,25641.250686794603,-16324.104824555496,-53332.60337502997,-0.075,0.91,0.444,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.865158,0.0,2023-09-22 14:59:13.865
8.0,-164618.31803540207,-187500.02235174447,-39729.979900119295,-27739.520697536555,51347.54494995415,70057.11734975784,106647.1241887956,48749.60169191381,80638.47787838911,35427.85023782853,-7071.06376541421,19898.729908314934,49477.66506405653,25637.607352448387,-16325.37887398945,-53376.72571858475,-0.074,0.91,0.442,192.0,126.5,88.0,14.0,56.0,6.5,104.0,0.0,0.0,0.0,1695412753.865161,0.0,2023-09-22 14:59:13.865
10.0,-164652.09152127404,-187500.02235174447,-39721.95562385984,-27737.77726146904,51325.4167229434,70067.35444871837,106596.07280445968,48759.43645947414,80677.63813467481,35466.78697666967,-7077.724585261892,19893.052565223286,49556.23144581693,25637.987332104127,-16326.407054234392,-53319.95228766827,-0.074,0.91,0.442,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.865164,0.0,2023-09-22 14:59:13.865
12.0,-164704.90869342192,-187500.02235174447,-39720.65922268143,-27746.561497039977,51347.18732204287,70069.65667839727,106651.54983419777,48766.18668629965,80642.94822728017,35428.36432795099,-7075.087079416166,19897.947597259,49476.70393904495,25637.674407681752,-16323.970714088764,-53376.97158777376,-0.074,0.91,0.442,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.865167,0.0,2023-09-22 14:59:13.865
14.0,-164692.50347524925,-187500.02235174447,-39666.23272493276,-27709.05526984397,51326.35549621052,70095.33883277641,106618.0222175148,48803.6705617512,80679.15805329777,35469.51388949322,-7084.005425453834,19888.15753318757,49572.1011843802,25629.180744788737,-16333.581964204546,-53287.072871574506,-0.074,0.91,0.442,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.86517,0.0,2023-09-22 14:59:13.865
16.0,-164767.02419126322,-187500.02235174447,-39696.7205043698,-27736.994950413104,51349.2213307883,70073.34471623239,106640.59747941465,48782.70462545212,80625.55857009394,35435.24866524323,-7078.484544573373,19897.00882399188,49480.2802181578,25627.482012210134,-16327.032903079142,-53327.44012206079,-0.074,0.91,0.442,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.925447,0.0,2023-09-22 14:59:13.925
18.0,-164775.51785415626,-187500.02235174447,-39646.63024504545,-27713.972653624136,51336.79376087114,70090.46615248515,106625.19712748492,48802.93295418417,80674.0395038175,35471.43613951637,-7077.501067817339,19896.94176875851,49568.14492561161,25633.67344542425,-16327.859917623988,-53269.14677252135,-0.074,0.906,0.44,192.0,126.5,88.0,14.0,40.0,6.5,96.0,0.0,0.0,0.0,1695412753.925469,0.0,2023-09-22 14:59:13.925
20.0,-164883.02974498627,-187500.02235174447,-39719.94396685886,-27770.00847697359,51349.757772655226,70052.71405610014,106631.05328453225,48760.19641878563,80637.76262256654,35424.72099360478,-7063.955910677423,19901.345062416203,49476.681587300496,25638.16614605977,-16321.579077432049,-53344.98624145821,-0.074,0.906,0.44,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.925472,0.0,2023-09-22 14:59:13.925
22.0,-164861.59442205363,-187500.02235174447,-39632.92862569435,-27719.91821764925,51329.10476077852,70086.33107976093,106629.51101416482,48808.0738554089,80677.97341084165,35460.72965392228,-7092.812012769225,19876.84755049319,49573.68815823653,25621.78231737403,-16339.460472996292,-53273.01362431212,-0.074,0.906,0.44,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.925476,0.0,2023-09-22 14:59:13.925
24.0,-164975.47656005342,-187500.02235174447,-39720.681574425886,-27785.27471843657,51346.22619703129,70046.79084381949,106618.31279019272,48753.535598937946,80623.14458169277,35419.1107057465,-7070.661434014015,19899.825143793245,49475.16166867753,25635.84156463642,-16324.775376889156,-53344.78507575811,-0.074,0.906,0.44,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.925479,0.0,2023-09-22 14:59:13.925
26.0,-164967.65344949407,-187500.02235174447,-39635.186151884336,-27743.432252816237,51338.42543821639,70079.7373151466,106635.21070900092,48794.55105001343,80680.47680622063,35450.9172381064,-7075.511762560816,19893.99133849041,49562.53463775333,25627.77258488805,-16332.397321748416,-53293.59958095546,-0.074,0.906,0.44,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695412753.925483,0.0,2023-09-22 14:59:13.925
28.0,-165077.73579093645,-187500.02235174447,-39723.20732154934,-27800.160980243803,51344.63922317496,70046.6343816083,106601.79485104023,48748.28293899095,80639.59546561187,35430.39833669643,-7060.5360937757605,19904.18373396203,49487.32101766122,25643.08352983994,-16325.289467011627,-53339.71122976676,-0.07,0.908,0.438,192.0,126.5,104.0,14.0,48.0,6.5,88.0,0.0,0.0,0.0,1695412753.925486,0.0,2023-09-22 14:59:13.925
