Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted)
42.0,31523.26870241984,52135.86862514837,45546.75317367949,8076.1993618249135,59087.395261215606,50344.01867914423,-187500.02235174447,47263.27774086926,41971.72575851986,67670.8227599648,56093.312036193856,12472.452220016983,69896.54241759091,-137418.86018739466,77148.40944390411,61446.68894370663,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696030297.107227,0.0,2023-09-29 18:31:37.107
44.0,31522.41933613054,52135.64510770382,45594.34003762485,8070.253797799802,59122.80042443281,50339.39186804198,-187500.02235174447,47259.16501988948,41981.85109875812,67657.18819584706,56063.42775385711,12469.345327537696,69874.3918388357,-137447.55982727525,77086.45040827399,61431.02037084346,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696030297.107236,0.0,2023-09-29 18:31:37.107
46.0,31527.940217011004,52146.5080555091,45563.42757504316,8083.888361917539,59106.50600272489,50353.02643215972,-187500.02235174447,47271.52553457327,41986.05322671571,67673.34850708825,56098.5423443964,12475.51440900736,69917.66481610118,-137443.35769931765,77150.33169392726,61451.96395539808,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696030297.10724,0.0,2023-09-29 18:31:37.107
48.0,31517.591359328195,52131.063000090486,45582.51596480799,8066.11872507557,59123.33686629974,50337.40256278546,-187500.02235174447,47256.3039965992,41979.8617935016,67657.34465805825,56066.5346463364,12471.46874326095,69875.93410920312,-137430.4383910225,77092.6418414881,61447.71712395157,0.07,1.02,-0.042,192.0,1.0,24.0,15.5,112.0,127.0,88.0,0.0,0.0,0.0,1696030297.107243,0.0,2023-09-29 18:31:37.107
50.0,31527.962568755454,52140.763657184085,45550.26239755898,8074.366518779579,59099.57696194375,50353.87579844902,-187500.02235174447,47267.59162754913,41979.63827605704,67662.03852439387,56096.46363216206,12467.311318792265,69915.29553118891,-137445.61522550764,77149.59408636023,61446.13015009525,0.07,1.02,-0.042,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696030297.107246,0.0,2023-09-29 18:31:37.107
52.0,31527.11320246616,52135.17572107026,45579.52083105098,8067.191608809425,59120.028808120354,50338.81072268614,-187500.02235174447,47263.34479610263,41981.18054642445,67663.44668429455,56058.04098344338,12471.267577560851,69865.47349279803,-137441.9048359281,77077.42030351404,61436.47419649056,0.07,1.02,-0.042,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696030297.107249,0.0,2023-09-29 18:31:37.107
54.0,31538.736109582915,52145.97161364217,45555.62681622825,8071.371385022568,59104.56140095728,50349.427801302416,-187500.02235174447,47265.60232229261,41987.72960754986,67667.13472212967,56108.42181544565,12469.390031026607,69920.21291496909,-137458.66864426955,77155.07026375178,61447.73947569603,0.07,1.02,-0.042,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696030297.107253,0.0,2023-09-29 18:31:37.107
56.0,31536.16565897056,52141.41185777329,45569.35078732381,8062.07305932916,59120.00645637589,50338.00605988575,-187500.02235174447,47257.77921173325,41987.4613866164,67663.93842267257,56062.26546314544,12479.582426498226,69872.11196090127,-137439.82612369373,77083.3435157947,61434.28372553393,0.07,1.02,-0.042,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696030297.107256,0.0,2023-09-29 18:31:37.107
58.0,31540.792470072804,52150.84429393343,45559.583074996845,8063.727088418853,59104.27082827936,50343.81751344413,-187500.02235174447,47264.77530774776,41988.958953494905,67669.7722279754,56106.72308286704,12475.201484584986,69924.43739467113,-137467.67639728505,77151.51633638339,61435.58012671234,0.074,1.02,-0.04,192.0,1.0,40.0,15.5,112.0,127.0,96.0,0.0,0.0,0.0,1696030297.107259,0.0,2023-09-29 18:31:37.107
0.0,15846.13512112321,26135.51481193481,22790.03981233118,4057.243950038428,29586.62415583422,25198.64144309061,-93750.01117587223,23583.683202705768,20988.645671444618,33838.864724500745,28035.1672214469,6240.405886221634,34937.31885401235,-68687.08952511425,38559.30728427259,30730.25116089001,0.068,1.022,-0.036,192.0,1.0,16.0,15.5,120.0,127.0,112.0,0.0,0.0,0.0,1696030297.214347,0.0,2023-09-29 18:31:37.214
2.0,31695.26537600343,52275.67878671632,45600.35265688332,8117.907716978517,59185.43001239658,50407.98937177532,-187500.02235174447,47175.45773690436,42248.30624440983,67978.96390902567,55863.647861915575,12566.418953707094,70030.98816048958,-137425.3868967756,77229.63568325469,61532.117311014816,0.068,1.022,-0.036,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696030297.272575,0.0,2023-09-29 18:31:37.272
4.0,31688.51514917793,52269.50970524666,45585.91342996519,8111.112786664104,59177.89747451514,50406.961191530376,-187500.02235174447,47169.46746939033,42253.67066307911,67996.68884237872,55878.57882721172,12569.481142697472,70028.26124766603,-137319.37257282407,77251.47333758752,61567.6789364432,0.068,1.022,-0.036,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696030297.272585,0.0,2023-09-29 18:31:37.272
6.0,31695.243024258976,52278.00336813968,45596.08347369236,8120.075836190682,59190.05682349883,50422.115674271074,-187500.02235174447,47171.56853336913,42252.41896538961,67974.38180141232,55861.85972235915,12559.065229781298,70019.25349465055,-137422.6376322076,77225.5229622749,61525.99293303406,0.068,1.022,-0.036,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696030297.272589,0.0,2023-09-29 18:31:37.272
8.0,31695.82416961481,52282.69723447529,45589.9590957116,8121.908679236017,59175.03645122486,50423.41207544948,-187500.02235174447,47178.54227763919,42260.64440734916,68002.32148198146,55886.51369649336,12573.34799448824,70029.781166289,-137348.42984061598,77246.84652648527,61563.365049763335,0.07,1.024,-0.034,192.0,1.0,24.0,16.0,0.0,127.0,120.0,0.0,0.0,0.0,1696030297.272592,0.0,2023-09-29 18:31:37.272
10.0,31694.818341114325,52280.48441177421,45594.13887192475,8120.433464101967,59187.061689741815,50419.14289225852,-187500.02235174447,47174.02722525922,42257.38105265869,67985.51297015107,55869.01228058485,12567.804761863325,70028.82004127742,-137408.8242541342,77228.78631696539,61541.63915415277,0.07,1.024,-0.034,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696030297.272595,0.0,2023-09-29 18:31:37.272
12.0,31700.138056294687,52288.66515024485,45583.81236598639,8129.687086306463,59183.08307922877,50434.27502325476,-187500.02235174447,47184.71135910885,42260.8232213048,68007.06005180598,55887.832449416215,12572.431572965572,70042.85693679535,-137344.33947138066,77256.32366613433,61578.452477270665,0.07,1.024,-0.034,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696030297.272599,0.0,2023-09-29 18:31:37.272
