Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted)
208.0,-55460.623557641935,-26230.86735378115,-44716.22940495365,-28579.45455067808,-9890.043424373082,-13063.96878528223,-187500.02235174447,-11450.441056542524,-24187.649689632617,8168.243845491868,-20503.746927231183,-25764.29704002107,6933.153502124966,-12598.806631422834,-20732.829956153622,-36739.29414025476,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696032226.682136,0.0,2023-09-29 19:03:46.682
210.0,-55455.28149071711,-26097.3603841496,-44710.37324790636,-28549.07852996332,-9883.33790103649,-13051.764732809632,-187500.02235174447,-11442.282669816335,-24169.433017901545,8202.509069741855,-20459.62458367641,-25759.96080159674,6946.139865653499,-12593.196343564552,-20725.20801129437,-36722.73149761337,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696032226.682143,0.0,2023-09-29 19:03:46.682
212.0,-55450.29705170358,-26251.22979297993,-44711.87081478487,-28585.04248679191,-9889.059947617048,-13059.498436391168,-187500.02235174447,-11451.55864376529,-24168.606003356697,8184.739432899885,-20485.53025550011,-25749.835461358485,6957.762772770259,-12599.521887245404,-20726.05737758367,-36738.37771873209,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696032226.682147,0.0,2023-09-29 19:03:46.682
214.0,-55469.83247635752,-26094.566416092686,-44716.16234972028,-28546.396320628683,-9889.81990692853,-13060.548968380568,-187500.02235174447,-11463.673289260065,-24160.58172709724,8223.25148859638,-20457.054133064048,-25756.742150395174,6950.274938377731,-12579.315910257808,-20726.549115961687,-36728.27473023829,0.112,1.0,0.166,192.0,1.5,64.0,15.5,32.0,2.5,24.0,0.0,0.0,0.0,1696032226.68215,0.0,2023-09-29 19:03:46.682
216.0,-55472.33587173651,-26197.04916442027,-44724.63366086884,-28593.78201887393,-9901.733386723208,-13073.311814464549,-187500.02235174447,-11476.190266155038,-24181.21238722949,8188.919209113027,-20457.031781319594,-25764.699371421262,6939.523749294728,-12598.940741889566,-20738.596706223096,-36751.36408226062,0.112,1.0,0.166,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696032226.682153,0.0,2023-09-29 19:03:46.682
218.0,-55468.87135134594,-26090.11841894608,-44715.46944564217,-28554.84528003279,-9889.551685995066,-13058.5820148685,-187500.02235174447,-11462.958033437497,-24170.68471559104,8189.343892257678,-20476.4330955068,-25770.779045913107,6939.635508017005,-12594.78331742088,-20733.72402593184,-36741.305797255736,0.112,1.0,0.166,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696032226.682156,0.0,2023-09-29 19:03:46.682
220.0,-55453.91803430535,-26216.204609418462,-44710.66382058428,-28591.099809539297,-9891.540991251588,-13064.706392849255,-187500.02235174447,-11466.668423017076,-24184.54279715333,8182.861886365639,-20472.208615804742,-25762.26303127564,6944.687002263904,-12593.911599387122,-20732.62879045353,-36750.06768108221,0.112,1.0,0.166,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696032226.68216,0.0,2023-09-29 19:03:46.682
222.0,-55461.741144864696,-26138.420538714,-44698.3480093894,-28546.93276249561,-9875.872418388415,-13056.324488678514,-187500.02235174447,-11461.996908425916,-24171.31056443579,8193.300151026267,-20510.36304358996,-25761.86069987544,6955.013508202256,-12588.278959784384,-20718.5918949356,-36736.16489603101,0.112,1.0,0.166,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696032226.682163,0.0,2023-09-29 19:03:46.682
224.0,-55451.459342415255,-26198.83730397669,-44707.13224496034,-28591.23392000603,-9891.362177295943,-13071.858951074952,-187500.02235174447,-11467.31662360628,-24179.379544184158,8192.271970781323,-20453.746074884664,-25770.04143834608,6958.589787315105,-12599.790108178868,-20721.25175252578,-36737.46129720942,0.108,1.006,0.168,192.0,1.5,48.0,15.5,56.0,2.5,32.0,0.0,0.0,0.0,1696032226.682166,0.0,2023-09-29 19:03:46.682
0.0,-27651.14189996027,-13026.753130764144,-22349.73279830609,-14274.15928532592,-4977.755841941338,-6524.6753722042295,-93750.01117587223,-5730.696705662812,-12090.237389831233,4094.034921411863,-10277.130934850087,-12883.947835439189,3483.9217047598013,-6294.050072914371,-10359.497113167896,-18373.06688702904,0.108,1.008,0.166,192.0,1.5,48.0,15.5,64.0,2.5,24.0,0.0,0.0,0.0,1696032226.797709,0.0,2023-09-29 19:03:46.797
